Ano;Mês/Ano;Estado;Bacia;Campo;Poço;Ambiente;Instalação;Produção de Óleo (m³);Produção de Condensado (m³);Produção de Gás Associado (Mm³);Produção de Gás Não Associado (Mm³);Produção de Água (m³);Injeção de Gás (Mm³);Injeção de Água para Recuperação Secundária (m³);Injeção de Água para Descarte (m³);Injeção de Gás Carbônico (Mm³);Injeção de Nitrogênio (Mm³);Injeção de Vapor de Água (t);Injeção de Polímeros (m³);Injeção de Outros Fluidos (m³)
2022;04/2022;Alagoas;Alagoas;PARU;4-ALS-39-AL;Mar;Estação de Paru;0;355;55212;0;3655;34274;335;68914;;;;;
2022;04/2022;Bahia;Camamu;MANATI;7-MNT-1-BAS;Mar;PLATAFORMA DE MANATI 1;0;233;1;0;14017;34861;86;911;;;;;
2022;04/2022;Bahia;Camamu;MANATI;7-MNT-2-BAS;Mar;PLATAFORMA DE MANATI 1;0;237;148;0;14007;45583;86;851;;;;;
2022;04/2022;Bahia;Camamu;MANATI;7-MNT-3-BAS;Mar;PLATAFORMA DE MANATI 1;0;176;655;0;9408;7012;62;94;;;;;
2022;04/2022;Bahia;Camamu;MANATI;7-MNT-4-BAS;Mar;PLATAFORMA DE MANATI 1;0;246;662;0;14839;32907;99;424;;;;;
2022;04/2022;Bahia;Camamu;MANATI;7-MNT-5D-BAS;Mar;PLATAFORMA DE MANATI 1;0;151;881;0;18977;38346;85;397;;;;;
2022;04/2022;Bahia;Camamu;MANATI;7-MNT-6D-BAS;Mar;PLATAFORMA DE MANATI 1;0;225;163;0;18755;86691;97;534;;;;;
2022;04/2022;Bahia;Recôncavo;CANDEIAS;7-C-173D-BA;Mar;Estação Pedra Branca;46;118;0;48;66922;0;0;564;;;;;
2022;04/2022;Bahia;Recôncavo;CANDEIAS;7-C-174D-BA;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;04/2022;Bahia;Recôncavo;CANDEIAS;7-C-197D-BA;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;04/2022;Bahia;Recôncavo;CANDEIAS;7-C-201D-BA;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;04/2022;Bahia;Recôncavo;CANDEIAS;7-C-202D-BA;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;04/2022;Bahia;Recôncavo;CANDEIAS;7-C-203D-BA;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;04/2022;Bahia;Recôncavo;CANDEIAS;7-C-211D-BA;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;04/2022;Bahia;Recôncavo;CANDEIAS;7-C-212D-BA;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;04/2022;Bahia;Recôncavo;DOM JOÃO;7-DJM-854H-BAS;Mar;Estação Marapé (Dom João Mar);97;59349;0;3;34745;0;1024;76611;;;;;
2022;04/2022;Bahia;Recôncavo;DOM JOÃO;7-DJM-856H-BAS;Mar;Estação Marapé (Dom João Mar);99;2547;0;0;96278;0;2744;10762;;;;;
