Ano;Mês/Ano;Estado;Bacia;Campo;Poço;Ambiente;Instalação;Produção de Óleo (m³);Produção de Condensado (m³);Produção de Gás Associado (Mm³);Produção de Gás Não Associado (Mm³);Produção de Água (m³);Injeção de Gás (Mm³);Injeção de Água para Recuperação Secundária (m³);Injeção de Água para Descarte (m³);Injeção de Gás Carbônico (Mm³);Injeção de Nitrogênio (Mm³);Injeção de Vapor de Água (t);Injeção de Polímeros (m³);Injeção de Outros Fluidos (m³)
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-113D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-114D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-115D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-116D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-117HP-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-11D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-14-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-15D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-17D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-18D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-21D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-24D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-30D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-33D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-37D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-39D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-42D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-46D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-47-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-50D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-52-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-53D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-54D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-55D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-56D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-57D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-59D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-6-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-60D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-62D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-63D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-64D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-65DA-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-66D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-68D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-69D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-70D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-71D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-73D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-74D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-75D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-76D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-78D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-79D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-7D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-81D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-82D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-83D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-84-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-85D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-86D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-88D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-89D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-8D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-91-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-92D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-94D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-97D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-98D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-99D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio Grande do Norte;Potiguar;UBARANA;7-UB-9D-RNS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;1-RJS-297-RJ;Mar;PETROBRAS 31;;;;;;0;2970;0;0;0;0;0;0
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;1-RJS-342-RJ;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;3-BRSA-1123-RJS;Mar;PETROBRAS 31;21323;28;0;3738;82819;0;85;277;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;3-RJS-334-RJ;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;4-BRSA-204DA-RJS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;4-RJS-328-RJ;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;4-RJS-330A-RJ;Mar;PETROBRAS 31;1584;51;0;119;83624;0;65;792;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-AB-103HP-RJS;Mar;PETROBRAS 25;5417;5;0;376;31168;0;4;13;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-AB-106HPA-RJS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-AB-108HP-RJS;Mar;PETROBRAS 25;3658;535;0;371;2915;0;2572;878;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-AB-110HP-RJS;Mar;PETROBRAS 25;1606;431;0;107;90017;0;1156;1;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-AB-114H-RJS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
